DATE;IPG2211A2N
1992-01-01;85.556
1992-01-02;804.178
1992-01-03;74.739
1992-01-04;698.367
1992-01-05;673.781
1992-01-06;714.197
1992-01-07;777.263
1992-01-08;767.791
1992-01-09;725.681
1992-01-10;692.363
1992-01-11;737.175
1992-01-12;847.818
1993-01-01;882.287
1993-01-02;847.919
1993-01-03;796.885
1993-01-04;712.731
1993-01-05;679.111
1993-01-06;745.503
1993-01-07;823.366
1993-01-08;822.906
1993-01-09;748.323
1993-01-10;698.758
1993-01-11;746.278
1993-01-12;844.669
1994-01-01;944.017
1994-01-02;874.053
1994-01-03;794.751
1994-01-04;711.817
1994-01-05;695.934
1994-01-06;781.988
1994-01-07;835.287
1994-01-08;821.321
1994-01-09;759.181
1994-01-10;714.802
1994-01-11;754.754
1994-01-12;850.772
1995-01-01;927.412
1995-01-02;87.667
1995-01-03;815.205
1995-01-04;740.457
1995-01-05;735.003
1995-01-06;785.503
1995-01-07;862.425
1995-01-08;898.063
1995-01-09;787.442
1995-01-10;739.353
1995-01-11;798.903
1995-01-12;910.933
1996-01-01;992.688
1996-01-02;931.691
1996-01-03;872.075
1996-01-04;774.715
1996-01-05;769.337
1996-01-06;821.958
1996-01-07;862.321
1996-01-08;86.824
1996-01-09;794.425
1996-01-10;74.911
1996-01-11;81.3
1996-01-12;90.753
1997-01-01;987.482
1997-01-02;900.486
1997-01-03;832.671
1997-01-04;763.793
1997-01-05;740.777
1997-01-06;800.138
1997-01-07;887.168
1997-01-08;880.487
1997-01-09;821.801
1997-01-10;777.266
1997-01-11;822.802
1997-01-12;923.623
1998-01-01;950.701
1998-01-02;880.838
1998-01-03;868.125
1998-01-04;769.828
1998-01-05;782.652
1998-01-06;867.123
1998-01-07;941.078
1998-01-08;937.954
1998-01-09;877.915
1998-01-10;803.296
1998-01-11;816.742
1998-01-12;919.551
1999-01-01;1.024.467
1999-01-02;914.671
1999-01-03;910.236
1999-01-04;807.497
1999-01-05;796.373
1999-01-06;881.204
1999-01-07;977.757
1999-01-08;967.014
1999-01-09;874.885
1999-01-10;808.647
1999-01-11;824.395
1999-01-12;947.746
2000-01-01;1.024.971
2000-01-02;945.218
2000-01-03;883.463
2000-01-04;816.662
2000-01-05;847.235
2000-01-06;913.293
